"id","texto","palavras"
"F0001","O que é que tem de haver alguma coisa fundacional nos dois grandes grupos de pessoas, pelo menos de pessoas que vivam na nossa cultura ocidental? Mas tem de haver algo positivo entre a esquerda e a direita, no grande grupo, mas mais concretamente, ao nível psicológico, nos traços de personalidade, que refletem respostas diferentes, que não refletem mesmo tipos de personalidade diferentes, ou seja, refletem mesmo pessoas diferentes. Se fala em diferentes tipos de personalidade, fala simplesmente em pessoas completamente diferentes. Como todos somos nós, como nós somos todos. Nesse tipo de comportamento, consegue-se inferir o tipo de pensamento, os padrões de atividade mental consciente, mas também refletidos no sentido do comportamento, ainda que automático, animalístico, meramente mecanizado pelas cadências lógicas necessárias de evolução.","125"
"F0002","Mas a questão não era tanto o plano grande, era mais o plano pequeno, era mais outro, era como, era mais este, era como se as minhas crenças, e crenças aqui em Portugal é muito amplo, não é? Crenças rapidamente destruídas e supostas e maltratadas e... Mas também crenças, não sei, muitas crenças internacionais, mas também crenças... Mas é o tipo de crença que se tem, crenças que se têm sobre os problemas socialmente falados ou tidos em consideração, então o tipo de abordagem para a realidade, para o ser e o dever ser, para a realidade e o... a realidade, ou seja, o problema e o plano da solução, ou seja, o que deveria ser, essa abordagem vai ser necessariamente diferente. Logo, aplicado esse tipo de pessoa à obrigatoriedade de existir num plano real e complexo com objetos exteriores a nós e também com os nossos obstáculos de consciência e consciência dos outros, isto vai fazer com que se ramifique necessariamente.","162"
"F0003","Lembrei-me. Ah, lembrei-me. Não, não, não. A questão é sobre a necessidade de haver dois indicadores obrigatórios ontológicos, não é? Que são, portanto, deixa cá ver, deixa cá ver, deixa cá ver, a realidade, não é? Os objetos, todos os objetos e as relações que compõem a realidade. E a nossa capacidade de criar mudança, boa ou má, no mundo. Estes são planos obrigatórios, que existem, independentemente do que é que se diga em qualquer sistema que tenha que conter objetos, mas a dispersão comportamental, não é? Quando a possibilidade é tanta e existem as variedades, portanto, em grupo, de tipos comportamentais, também se torna-se obrigatório instaurar logo aí também um ponto ontológico obrigatório, que é uma divisão. Devemos ainda não saber o que é, mas obrigatoriamente, obrigatoriamente, há aí uma divisão, ou seja, um caminho para a esquerda, um caminho para a direita, que se torna obrigatório. Isso significa que... Isso significa que... Isso significa que... Ou seja, isso...","160"
"F0004","Sim, construindo de baixo para cima, ao nível das entidades e das propriedades e das relações. Isto tem significativo moral, porque em princípio, em princípio não, porque a divergência do comportamento real, a divergência do comportamento que descreve de maneira mais completa e integral aquilo que é, no fundo que é a conformação do objeto com o seu conhecimento, portanto a verdade, quando o comportamento, quando o valor é junto à verdade, ainda dentro dos limites da verdade do que é e daquilo que pode ser, porque o que devia ser está contigo e pode ser, quando este comportamento... Ah, sim, este comportamento existe, há uma necessidade para este tipo de comportamento. Este comportamento existe porque em relações sociais de pequena escala são necessárias, são necessárias, não sem ter nada a ver com a questão da verdade, meramente pela questão da necessidade de continuação de ambientes internos e externos homeostásicos, ou como é que se diz, não é? De forma cultural, biológica e de seguida auto-preservação.","166"
"F0005","Mas, como é óbvio, nem todos os tipos de outro comportamento que não são deste comportamento se comportam de acordo com a verdade, como é óbvio. Têm raiva, são agressivos, não pensam, tudo o que se queira fazer. E é muitas vezes necessário, para chamar à calma o animal, não a razão, mas a emoção. Tudo tem o seu papel, e esse papel é muito importante. Mas, o problema é que, em larga escala, os critérios de emoção, ou seja, os critérios não verdadeiros, não verdadeiros, mas úteis, de certo modo, esses não são necessários. Aliás, até são dispensáveis. E, em larga escala, também se pode incluir relações a... isso aí já vou...","113"
"F0006","Há uma necessidade moral, não há uma necessidade moral, há uma necessidade imposta pelos próprios objetos do sistema de baixo para cima, de baixo para cima, há uma necessidade em que o ser humano, por ser social e por todos os objetos, entidades e relações incluindo a parte social do ser humano, são úteis. Esses comportamentos são úteis. Então esses modos de pensar, esses modos de atividade mental..E por isso existem, porque são úteis. Está tudo certo. A questão... E tem a sua razão de ser, dentro dos mini-sistemas em que se incluem. Como, é obvio, como relações familiares, relações de amizade, relações de trabalho meio-meio. Mas... em qualquer sistema vai sempre haver a pessoa que vai ter a resposta para o problema que descreve... vírgula. Oh, é muito problema. Que descreve mal. E por isso aplica mal a solução.","140"
"F0007","Vai sempre haver esse comportamento como necessidade do próprio sistema, e... E, pelo... por tudo, não é? Por tudo. O problema torna-se... ...quando esse tipo de comportamento é dominante. Porque quando esse tipo de comportamento, ou seja, esse tipo de pessoa... pode ser qualquer tipo de personalidade... A questão é quando esse tipo se torna o tipo. Neste caso da esquerda, o tipo que bifurca para a estrada da esquerda se torna dominante. Porquê? Porque, como dizia Jung, pensar é difícil. Por isso é que a maior parte das pessoas julgam. E quando esse tipo se torna dominante, domina quase totalmente só pelo simples facto de requerer menos esforço, como justificação de modo de existir, de viver, do que um que nos obrigue a destar energia.","126"
"F0008","Não. Não, a questão é... Pronto. O grande tema aqui é a minha... Que eu acho que a única maneira de poder fazer qualquer tipo de afirmação valorativa útil... Vamos ver o que nós fizemos. Não entendo nem se esse assunto é palavra certa, mas alguma que seja... Alguma que seja... Qualquer uma, até. Não podemos ser ridículos e podemos dizer qualquer uma. Qualquer proposição valorativa, para nós aferirmos da sua bondade, temos de, primeiro, aferir da verdade do problema descrito e da solução proposta. Porque o valor está incluído no real. E... E o valor, como neste caso da discussão, o valor nasce... Não nasce. Não sei se nasce, mas o valor... Pelo menos os diferentes... Os valores biológicos. Aquilo que se transformam em mimos do docking. Os valores biológicos, não é? Os valores biológicos, esses também são importantes. Esses, tanto o valor consequente, é mais assim, o valor consequente tem impacto, tem, tem, existe. Existe de maneira moldada pela estrutura que está inserida naquelas entidades biológicas mínimas, mas também pelo modo de abordar a realidade dos humanos. E, como tudo existe no plano do discurso, da descrição, porque é assim que nós entendemos o mundo, falamos com o mundo, e deixamos o mundo falar connosco. Muito isto é o problema. Como nós operamos nesse caminho, quanto mais pessoas, ou quanto mais tipo de discurso ligado ao tipo de pessoa, no fundo qualquer tipo de discurso é sempre ligado a qualquer tipo de modo de existir, de pensar, de modo de ser. Qualquer ideia revela sempre uma atividade qualquer mental que a pessoa tenha tido.","266"
"F0009","Ou que tenha contaminado o resto da cultura com essas ideias. Tudo é um bocado a mesma coisa. Mas... Quanto mais do tipo da esquerda, mais a verdade vai ser abafada. Porque a verdade... Porque para alguém ser do tipo verdade, tem de ter tipos de pensamento recorrentes, pelo menos. Ou então de comportamentos inactos. Não é? Para... Para, para, para, para... Para compreender a realidade em que está inserido, compreender o exterior e compreender o interior a um nível mínimo. Chega-se lá através de várias maneiras. Cristianismo é uma delas. Qualquer sistema de crenças que tenha como uma das crenças principais ou importantes ou pelo menos consequentes nas outras crenças um modo de verdade. Há de ser sempre a colocação da realidade na realidade e do indivíduo no indivíduo. Portanto, a colocação da necessidade de mudança, não na realidade, mas sim no indivíduo. Porque isto, depois, por necessidade lógica de coerência e harmónica, leva à ação modificadora. Não só descoberta daquilo que é, compreensão daquilo que é, mas também aplicação do valor na medida em que vai trazer um melhor estado de coisas. Ou pelo menos à preservação, à preservação do estado de coisas. Portanto, o que é que eu estava a dizer? Ser deste tipo de pessoa, contrariamente a outro tipo de pessoa, que encontre uma qualquer justificação que seja minimamente apresentável pela mente que não envolva nenhum tipo de autoresponsabilidade. São questões básicas, questões elementares do comportamento humano, variados. Pela simples querer preservar a energia e preferir não fazer nada, a fazer algo. E depois, quando confrontado com a realidade e com os milhões...","267"
"F0010","E com os milhões de exemplos que existem, e com os milhões de exemplos que se deparam sobre a pessoa, sobre qual seria o caminho correto a seguir, se o cérebro fosse usado, a resposta natural a isso, à evidência do erro, resposta natural à evidência do erro... O que é que eu queria dizer? Não é raramente, raramente recai, raramente se transforma em algo como... Epá, espera aí. Se calhar eu tenho de mudar. Pela necessidade do próprio sistema que está inserido? Como de facto essa seria a resposta óbvia, não é? Porque evidente e verdadeira. Não sei... Verdade no sentido de... A verdade é sempre uma auto-evidência. No sentido de que é mais verdade, tanto quanto melhor for a sua descrição, a descrição da realidade. É a verdade. A verdade é, portanto, como se a realidade fosse um labirinto integrado a ser construído de baixo para cima. Se isso é a realidade, parece-me, pelo menos algo em que outras coisas existem. Parece-me, pelo menos... Pelo menos não, isto é verdade. Porque para existir tem de ser assim. Se não existir... Mas a verdade é apenas um nome que se dá... ...que se dá ao quadro onde o labirinto está a ser construído, e que, com a ajuda da consciência, porque é a consciência que descobre o trabalho. ...a mudar o seu sentido cada vez que se olha para o mapa. E é verdade em todo o sentido. É verdade aplicada a tudo, portanto, o prédio, o que é que um prédio existe? Qual é a verdade sobre o prédio? É a boa descrição do que o prédio contém, das relações que existem no prédio, das alterações, das modificações, daquilo que existe, daquilo que existe e que acontece, e que está em movimento e em interação.","297"
